"customer_id","no_of_days_rented","case"
282,"7 days 23:22:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
498,"5 days 03:33:00","NO NEED FOR REMINDER MAIL YET"
18,"3 days 04:44:00","NO NEED FOR REMINDER MAIL YET"
256,"23:53:00","NO NEED FOR REMINDER MAIL YET"
507,"5 days 18:36:00","NO NEED FOR REMINDER MAIL YET"
569,"1 day 22:00:00","NO NEED FOR REMINDER MAIL YET"
291,"6 days 21:42:00","NO NEED FOR REMINDER MAIL YET"
131,"5 days 02:31:00","NO NEED FOR REMINDER MAIL YET"
511,"1 day 05:53:00","NO NEED FOR REMINDER MAIL YET"
6,"3 days 21:59:00","NO NEED FOR REMINDER MAIL YET"
323,"3 days 05:47:00","NO NEED FOR REMINDER MAIL YET"
408,"7 days 00:56:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
470,"5 days 05:16:00","NO NEED FOR REMINDER MAIL YET"
250,"7 days 22:21:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
419,"5 days 01:37:00","NO NEED FOR REMINDER MAIL YET"
383,"1 day 19:05:00","NO NEED FOR REMINDER MAIL YET"
368,"9 days 02:10:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
346,"4 days 04:49:00","NO NEED FOR REMINDER MAIL YET"
86,"3 days 18:41:00","NO NEED FOR REMINDER MAIL YET"
119,"2 days 04:05:00","NO NEED FOR REMINDER MAIL YET"
120,"6 days 00:33:00","NO NEED FOR REMINDER MAIL YET"
305,"2 days 03:52:00","NO NEED FOR REMINDER MAIL YET"
73,"1 day 19:41:00","NO NEED FOR REMINDER MAIL YET"
100,"2 days 18:33:00","NO NEED FOR REMINDER MAIL YET"
48,"2 days 19:00:00","NO NEED FOR REMINDER MAIL YET"
391,"7 days 02:56:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
265,"1 day 01:14:00","NO NEED FOR REMINDER MAIL YET"
510,"9 days 01:45:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
1,"9 days 00:30:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
451,"1 day 05:22:00","NO NEED FOR REMINDER MAIL YET"
135,"6 days 01:13:00","NO NEED FOR REMINDER MAIL YET"
245,"8 days 22:43:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
314,"6 days 05:34:00","NO NEED FOR REMINDER MAIL YET"
286,"8 days 01:53:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
427,"6 days 22:31:00","NO NEED FOR REMINDER MAIL YET"
131,"2 days 03:10:00","NO NEED FOR REMINDER MAIL YET"
492,"4 days 05:57:00","NO NEED FOR REMINDER MAIL YET"
414,"4 days 03:48:00","NO NEED FOR REMINDER MAIL YET"
266,"5 days 01:17:00","NO NEED FOR REMINDER MAIL YET"
331,"3 days 21:20:00","NO NEED FOR REMINDER MAIL YET"
53,"3 days 19:19:00","NO NEED FOR REMINDER MAIL YET"
499,"4 days 00:05:00","NO NEED FOR REMINDER MAIL YET"
25,"6 days 19:36:00","NO NEED FOR REMINDER MAIL YET"
267,"7 days 03:35:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
302,"5 days 22:02:00","NO NEED FOR REMINDER MAIL YET"
288,"9 days 04:24:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
197,"4 days 22:20:00","NO NEED FOR REMINDER MAIL YET"
400,"8 days 02:43:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
49,"4 days 18:15:00","NO NEED FOR REMINDER MAIL YET"
263,"2 days 19:39:00","NO NEED FOR REMINDER MAIL YET"
269,"1 day 18:41:00","NO NEED FOR REMINDER MAIL YET"
44,"3 days 02:02:00","NO NEED FOR REMINDER MAIL YET"
208,"8 days 05:21:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
468,"6 days 02:30:00","NO NEED FOR REMINDER MAIL YET"
343,"6 days 02:25:00","NO NEED FOR REMINDER MAIL YET"
384,"9 days 05:06:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
310,"1 day 21:34:00","NO NEED FOR REMINDER MAIL YET"
108,"4 days 18:09:00","NO NEED FOR REMINDER MAIL YET"
196,"9 days 05:43:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
317,"9 days 04:18:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
242,"5 days 01:10:00","NO NEED FOR REMINDER MAIL YET"
503,"4 days 01:59:00","NO NEED FOR REMINDER MAIL YET"
19,"8 days 23:30:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
227,"2 days 22:33:00","NO NEED FOR REMINDER MAIL YET"
500,"8 days 01:47:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
93,"2 days 03:09:00","NO NEED FOR REMINDER MAIL YET"
506,"7 days 03:58:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
455,"4 days 01:04:00","NO NEED FOR REMINDER MAIL YET"
18,"20:56:00","NO NEED FOR REMINDER MAIL YET"
7,"6 days 04:29:00","NO NEED FOR REMINDER MAIL YET"
524,"5 days 19:29:00","NO NEED FOR REMINDER MAIL YET"
51,"4 days 04:14:00","NO NEED FOR REMINDER MAIL YET"
365,"7 days 03:52:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
405,"4 days 01:50:00","NO NEED FOR REMINDER MAIL YET"
273,"7 days 23:21:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
43,"23:15:00","NO NEED FOR REMINDER MAIL YET"
246,"4 days 04:01:00","NO NEED FOR REMINDER MAIL YET"
368,"8 days 00:51:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
439,"2 days 21:44:00","NO NEED FOR REMINDER MAIL YET"
94,"8 days 00:28:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
40,"4 days 02:15:00","NO NEED FOR REMINDER MAIL YET"
23,"9 days 04:05:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
56,"5 days 01:20:00","NO NEED FOR REMINDER MAIL YET"
325,"5 days 01:43:00","NO NEED FOR REMINDER MAIL YET"
479,"5 days 23:16:00","NO NEED FOR REMINDER MAIL YET"
237,"4 days 02:38:00","NO NEED FOR REMINDER MAIL YET"
222,"7 days 20:40:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
304,"8 days 19:52:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
504,"5 days 20:04:00","NO NEED FOR REMINDER MAIL YET"
560,"6 days 04:05:00","NO NEED FOR REMINDER MAIL YET"
586,"3 days 21:33:00","NO NEED FOR REMINDER MAIL YET"
257,"3 days 18:12:00","NO NEED FOR REMINDER MAIL YET"
354,"1 day 01:36:00","NO NEED FOR REMINDER MAIL YET"
89,"7 days 02:23:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
472,"3 days 01:03:00","NO NEED FOR REMINDER MAIL YET"
297,"1 day 21:56:00","NO NEED FOR REMINDER MAIL YET"
357,"6 days 21:52:00","NO NEED FOR REMINDER MAIL YET"
82,"5 days 02:57:00","NO NEED FOR REMINDER MAIL YET"
433,"9 days 00:13:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
274,"3 days 23:04:00","NO NEED FOR REMINDER MAIL YET"
142,"6 days 19:04:00","NO NEED FOR REMINDER MAIL YET"
319,"7 days 21:02:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
429,"6 days 01:42:00","NO NEED FOR REMINDER MAIL YET"
14,"4 days 05:51:00","NO NEED FOR REMINDER MAIL YET"
57,"8 days 05:24:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
348,"1 day 20:41:00","NO NEED FOR REMINDER MAIL YET"
185,"3 days 22:23:00","NO NEED FOR REMINDER MAIL YET"
551,"5 days 22:48:00","NO NEED FOR REMINDER MAIL YET"
462,"1 day 22:24:00","NO NEED FOR REMINDER MAIL YET"
344,"19:52:00","NO NEED FOR REMINDER MAIL YET"
354,"7 days 23:03:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
505,"3 days 02:26:00","NO NEED FOR REMINDER MAIL YET"
290,"6 days 03:59:00","NO NEED FOR REMINDER MAIL YET"
182,"1 day 03:51:00","NO NEED FOR REMINDER MAIL YET"
296,"1 day 01:36:00","NO NEED FOR REMINDER MAIL YET"
104,"9 days 04:10:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
151,"1 day 22:06:00","NO NEED FOR REMINDER MAIL YET"
33,"7 days 00:53:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
322,"4 days 22:39:00","NO NEED FOR REMINDER MAIL YET"
401,"1 day 00:17:00","NO NEED FOR REMINDER MAIL YET"
469,"6 days 23:02:00","NO NEED FOR REMINDER MAIL YET"
381,"22:28:00","NO NEED FOR REMINDER MAIL YET"
107,"7 days 00:42:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
400,"7 days 21:10:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
176,"3 days 00:54:00","NO NEED FOR REMINDER MAIL YET"
533,"1 day 21:55:00","NO NEED FOR REMINDER MAIL YET"
552,"2 days 03:29:00","NO NEED FOR REMINDER MAIL YET"
47,"8 days 02:15:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
250,"5 days 22:49:00","NO NEED FOR REMINDER MAIL YET"
548,"6 days 04:02:00","NO NEED FOR REMINDER MAIL YET"
196,"9 days 02:48:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
19,"8 days 05:40:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
75,"6 days 05:12:00","NO NEED FOR REMINDER MAIL YET"
587,"3 days 01:47:00","NO NEED FOR REMINDER MAIL YET"
237,"6 days 00:54:00","NO NEED FOR REMINDER MAIL YET"
254,"6 days 04:03:00","NO NEED FOR REMINDER MAIL YET"
556,"2 days 04:41:00","NO NEED FOR REMINDER MAIL YET"
125,"7 days 04:18:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
468,"8 days 01:47:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
515,"8 days 18:56:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
243,"18:01:00","NO NEED FOR REMINDER MAIL YET"
247,"1 day 00:10:00","NO NEED FOR REMINDER MAIL YET"
533,"6 days 03:33:00","NO NEED FOR REMINDER MAIL YET"
412,"1 day 23:19:00","NO NEED FOR REMINDER MAIL YET"
437,"7 days 04:37:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
270,"3 days 23:40:00","NO NEED FOR REMINDER MAIL YET"
29,"3 days 21:16:00","NO NEED FOR REMINDER MAIL YET"
564,"4 days 19:55:00","NO NEED FOR REMINDER MAIL YET"
184,"1 day 03:59:00","NO NEED FOR REMINDER MAIL YET"
546,"7 days 22:05:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
54,"9 days 04:42:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
71,"2 days 01:55:00","NO NEED FOR REMINDER MAIL YET"
321,"5 days 04:55:00","NO NEED FOR REMINDER MAIL YET"
444,"8 days 18:49:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
20,"6 days 20:25:00","NO NEED FOR REMINDER MAIL YET"
109,"8 days 05:25:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
528,"4 days 00:41:00","NO NEED FOR REMINDER MAIL YET"
114,"3 days 01:44:00","NO NEED FOR REMINDER MAIL YET"
345,"22:25:00","NO NEED FOR REMINDER MAIL YET"
47,"1 day 01:28:00","NO NEED FOR REMINDER MAIL YET"
274,"19:45:00","NO NEED FOR REMINDER MAIL YET"
379,"1 day 00:46:00","NO NEED FOR REMINDER MAIL YET"
391,"1 day 03:58:00","NO NEED FOR REMINDER MAIL YET"
170,"2 days 05:36:00","NO NEED FOR REMINDER MAIL YET"
59,"4 days 04:12:00","NO NEED FOR REMINDER MAIL YET"
394,"5 days 03:49:00","NO NEED FOR REMINDER MAIL YET"
98,"4 days 19:18:00","NO NEED FOR REMINDER MAIL YET"
197,"2 days 00:43:00","NO NEED FOR REMINDER MAIL YET"
91,"7 days 23:04:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
121,"4 days 18:00:00","NO NEED FOR REMINDER MAIL YET"
309,"9 days 02:26:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
489,"1 day 18:59:00","NO NEED FOR REMINDER MAIL YET"
542,"5 days 21:37:00","NO NEED FOR REMINDER MAIL YET"
143,"2 days 19:43:00","NO NEED FOR REMINDER MAIL YET"
83,"4 days 22:22:00","NO NEED FOR REMINDER MAIL YET"
460,"4 days 01:28:00","NO NEED FOR REMINDER MAIL YET"
318,"8 days 20:41:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
467,"5 days 20:34:00","NO NEED FOR REMINDER MAIL YET"
221,"5 days 02:42:00","NO NEED FOR REMINDER MAIL YET"
301,"3 days 20:33:00","NO NEED FOR REMINDER MAIL YET"
571,"8 days 22:45:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
312,"5 days 00:37:00","NO NEED FOR REMINDER MAIL YET"
58,"4 days 03:51:00","NO NEED FOR REMINDER MAIL YET"
365,"19:56:00","NO NEED FOR REMINDER MAIL YET"
256,"21:04:00","NO NEED FOR REMINDER MAIL YET"
531,"2 days 05:45:00","NO NEED FOR REMINDER MAIL YET"
566,"7 days 22:52:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
119,"8 days 21:45:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
446,"2 days 02:02:00","NO NEED FOR REMINDER MAIL YET"
536,"3 days 05:55:00","NO NEED FOR REMINDER MAIL YET"
211,"18:19:00","NO NEED FOR REMINDER MAIL YET"
49,"6 days 00:56:00","NO NEED FOR REMINDER MAIL YET"
103,"8 days 18:42:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
245,"1 day 22:54:00","NO NEED FOR REMINDER MAIL YET"
214,"7 days 02:21:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
543,"8 days 04:22:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
257,"4 days 22:18:00","NO NEED FOR REMINDER MAIL YET"
158,"20:12:00","NO NEED FOR REMINDER MAIL YET"
240,"2 days 20:15:00","NO NEED FOR REMINDER MAIL YET"
102,"1 day 23:37:00","NO NEED FOR REMINDER MAIL YET"
545,"4 days 23:56:00","NO NEED FOR REMINDER MAIL YET"
472,"2 days 03:28:00","NO NEED FOR REMINDER MAIL YET"
539,"18:20:00","NO NEED FOR REMINDER MAIL YET"
204,"3 days 02:42:00","NO NEED FOR REMINDER MAIL YET"
187,"7 days 00:09:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
416,"21:38:00","NO NEED FOR REMINDER MAIL YET"
390,"4 days 18:36:00","NO NEED FOR REMINDER MAIL YET"
114,"21:53:00","NO NEED FOR REMINDER MAIL YET"
436,"5 days 00:38:00","NO NEED FOR REMINDER MAIL YET"
373,"3 days 00:58:00","NO NEED FOR REMINDER MAIL YET"
502,"4 days 03:10:00","NO NEED FOR REMINDER MAIL YET"
482,"8 days 23:55:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
21,"4 days 21:39:00","NO NEED FOR REMINDER MAIL YET"
414,"6 days 18:03:00","NO NEED FOR REMINDER MAIL YET"
236,"2 days 00:03:00","NO NEED FOR REMINDER MAIL YET"
449,"3 days 18:20:00","NO NEED FOR REMINDER MAIL YET"
251,"18:12:00","NO NEED FOR REMINDER MAIL YET"
303,"5 days 22:13:00","NO NEED FOR REMINDER MAIL YET"
263,"18:47:00","NO NEED FOR REMINDER MAIL YET"
417,"4 days 00:37:00","NO NEED FOR REMINDER MAIL YET"
75,"22:16:00","NO NEED FOR REMINDER MAIL YET"
322,"23:40:00","NO NEED FOR REMINDER MAIL YET"
200,"7 days 20:20:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
92,"8 days 01:08:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
71,"7 days 20:43:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
193,"3 days 02:20:00","NO NEED FOR REMINDER MAIL YET"
311,"8 days 01:29:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
133,"9 days 05:26:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
58,"7 days 19:43:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
45,"2 days 05:22:00","NO NEED FOR REMINDER MAIL YET"
214,"6 days 23:03:00","NO NEED FOR REMINDER MAIL YET"
384,"8 days 00:46:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
167,"1 day 05:06:00","NO NEED FOR REMINDER MAIL YET"
582,"23:22:00","NO NEED FOR REMINDER MAIL YET"
282,"5 days 21:36:00","NO NEED FOR REMINDER MAIL YET"
242,"5 days 00:14:00","NO NEED FOR REMINDER MAIL YET"
359,"8 days 18:57:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
162,"4 days 21:17:00","NO NEED FOR REMINDER MAIL YET"
371,"8 days 22:16:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
17,"6 days 05:26:00","NO NEED FOR REMINDER MAIL YET"
82,"8 days 01:06:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
81,"1 day 19:08:00","NO NEED FOR REMINDER MAIL YET"
429,"3 days 04:24:00","NO NEED FOR REMINDER MAIL YET"
577,"7 days 05:46:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
515,"9 days 04:36:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
158,"7 days 20:18:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
369,"1 day 20:51:00","NO NEED FOR REMINDER MAIL YET"
65,"21:50:00","NO NEED FOR REMINDER MAIL YET"
468,"8 days 05:56:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
48,"23:04:00","NO NEED FOR REMINDER MAIL YET"
460,"3 days 01:16:00","NO NEED FOR REMINDER MAIL YET"
448,"1 day 03:30:00","NO NEED FOR REMINDER MAIL YET"
47,"9 days 04:37:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
274,"5 days 04:48:00","NO NEED FOR REMINDER MAIL YET"
387,"7 days 18:36:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
596,"1 day 02:25:00","NO NEED FOR REMINDER MAIL YET"
534,"6 days 02:44:00","NO NEED FOR REMINDER MAIL YET"
464,"7 days 01:11:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
547,"1 day 22:06:00","NO NEED FOR REMINDER MAIL YET"
375,"9 days 00:36:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
277,"8 days 22:23:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
251,"6 days 04:32:00","NO NEED FOR REMINDER MAIL YET"
409,"6 days 05:28:00","NO NEED FOR REMINDER MAIL YET"
201,"5 days 01:11:00","NO NEED FOR REMINDER MAIL YET"
143,"6 days 19:22:00","NO NEED FOR REMINDER MAIL YET"
594,"2 days 02:33:00","NO NEED FOR REMINDER MAIL YET"
203,"1 day 23:40:00","NO NEED FOR REMINDER MAIL YET"
238,"3 days 00:21:00","NO NEED FOR REMINDER MAIL YET"
249,"3 days 00:03:00","NO NEED FOR REMINDER MAIL YET"
391,"5 days 20:33:00","NO NEED FOR REMINDER MAIL YET"
60,"7 days 04:54:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
77,"3 days 19:03:00","NO NEED FOR REMINDER MAIL YET"
2,"1 day 04:21:00","NO NEED FOR REMINDER MAIL YET"
496,"5 days 23:45:00","NO NEED FOR REMINDER MAIL YET"
144,"3 days 02:23:00","NO NEED FOR REMINDER MAIL YET"
292,"3 days 03:27:00","NO NEED FOR REMINDER MAIL YET"
449,"4 days 05:52:00","NO NEED FOR REMINDER MAIL YET"
432,"8 days 19:15:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
105,"8 days 02:48:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
451,"5 days 00:58:00","NO NEED FOR REMINDER MAIL YET"
231,"4 days 02:22:00","NO NEED FOR REMINDER MAIL YET"
248,"8 days 02:54:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
67,"8 days 22:03:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
299,"6 days 22:59:00","NO NEED FOR REMINDER MAIL YET"
412,"4 days 22:03:00","NO NEED FOR REMINDER MAIL YET"
194,"2 days 00:51:00","NO NEED FOR REMINDER MAIL YET"
16,"8 days 21:08:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
275,"2 days 19:28:00","NO NEED FOR REMINDER MAIL YET"
19,"6 days 00:05:00","NO NEED FOR REMINDER MAIL YET"
165,"5 days 01:41:00","NO NEED FOR REMINDER MAIL YET"
516,"8 days 01:59:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
209,"8 days 04:02:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
56,"9 days 04:50:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
539,"1 day 21:17:00","NO NEED FOR REMINDER MAIL YET"
455,"1 day 04:21:00","NO NEED FOR REMINDER MAIL YET"
236,"2 days 05:43:00","NO NEED FOR REMINDER MAIL YET"
144,"4 days 05:18:00","NO NEED FOR REMINDER MAIL YET"
14,"8 days 23:50:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
378,"1 day 05:16:00","NO NEED FOR REMINDER MAIL YET"
473,"4 days 23:53:00","NO NEED FOR REMINDER MAIL YET"
36,"1 day 01:40:00","NO NEED FOR REMINDER MAIL YET"
9,"8 days","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
118,"5 days 05:31:00","NO NEED FOR REMINDER MAIL YET"
157,"2 days 03:17:00","NO NEED FOR REMINDER MAIL YET"
503,"6 days 22:36:00","NO NEED FOR REMINDER MAIL YET"
452,"5 days 00:36:00","NO NEED FOR REMINDER MAIL YET"
446,"4 days 20:35:00","NO NEED FOR REMINDER MAIL YET"
382,"2 days 23:52:00","NO NEED FOR REMINDER MAIL YET"
198,"3 days 00:27:00","NO NEED FOR REMINDER MAIL YET"
102,"2 days 04:45:00","NO NEED FOR REMINDER MAIL YET"
152,"1 day 21:07:00","NO NEED FOR REMINDER MAIL YET"
594,"6 days 19:07:00","NO NEED FOR REMINDER MAIL YET"
587,"4 days 00:58:00","NO NEED FOR REMINDER MAIL YET"
147,"5 days 01:24:00","NO NEED FOR REMINDER MAIL YET"
345,"1 day 05:08:00","NO NEED FOR REMINDER MAIL YET"
430,"4 days 03:24:00","NO NEED FOR REMINDER MAIL YET"
167,"7 days 21:15:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
134,"7 days 18:22:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
439,"2 days 22:06:00","NO NEED FOR REMINDER MAIL YET"
361,"8 days 03:38:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
508,"4 days 22:34:00","NO NEED FOR REMINDER MAIL YET"
22,"8 days 22:50:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
295,"8 days 18:57:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
510,"7 days 19:37:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
464,"5 days 03:25:00","NO NEED FOR REMINDER MAIL YET"
337,"8 days 22:47:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
306,"8 days 05:22:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
542,"5 days 19:50:00","NO NEED FOR REMINDER MAIL YET"
170,"5 days 18:32:00","NO NEED FOR REMINDER MAIL YET"
53,"2 days 05:57:00","NO NEED FOR REMINDER MAIL YET"
584,"5 days 20:54:00","NO NEED FOR REMINDER MAIL YET"
176,"8 days 02:11:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
371,"4 days 02:17:00","NO NEED FOR REMINDER MAIL YET"
183,"4 days 04:51:00","NO NEED FOR REMINDER MAIL YET"
298,"7 days 00:25:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
371,"5 days 23:03:00","NO NEED FOR REMINDER MAIL YET"
