"film_id","title","name","description"
657,"Paradise Sabrina","Comedy","A Intrepid Yarn of a Car And a Moose who must Outrace a Crocodile in A Manhattan Penthouse"
660,"Party Knock","Comedy","A Fateful Display of a Technical Writer And a Butler who must Battle a Sumo Wrestler in An Abandoned Mine Shaft"
672,"Perfect Groove","Comedy","A Thrilling Yarn of a Dog And a Dog who must Build a Husband in A Baloon"
680,"Pinocchio Simon","Comedy","A Action-Packed Reflection of a Mad Scientist And a A Shark who must Find a Feminist in California"
704,"Pure Runner","Comedy","A Thoughtful Documentary of a Student And a Madman who must Challenge a Squirrel in A Manhattan Penthouse"
754,"Rushmore Mermaid","Comedy","A Boring Story of a Woman And a Moose who must Reach a Husband in A Shark Tank"
756,"Saddle Antitrust","Comedy","A Stunning Epistle of a Feminist And a A Shark who must Battle a Woman in An Abandoned Fun House"
765,"Saturn Name","Comedy","A Fateful Epistle of a Butler And a Boy who must Redeem a Teacher in Berlin"
774,"Searchers Wait","Comedy","A Fast-Paced Tale of a Car And a Mad Scientist who must Kill a Womanizer in Ancient Japan"
814,"Snatch Slipper","Comedy","A Insightful Panorama of a Woman And a Feminist who must Defeat a Forensic Psychologist in Berlin"
837,"Stage World","Comedy","A Lacklusture Panorama of a Woman And a Frisbee who must Chase a Crocodile in A Jet Boat"
857,"Strictly Scarface","Comedy","A Touching Reflection of a Crocodile And a Dog who must Chase a Hunter in An Abandoned Fun House"
858,"Submarine Bed","Comedy","A Amazing Display of a Car And a Monkey who must Fight a Teacher in Soviet Georgia"
871,"Sweden Shining","Comedy","A Taut Documentary of a Car And a Robot who must Conquer a Boy in The Canadian Rockies"
905,"Trainspotting Strangers","Comedy","A Fast-Paced Drama of a Pioneer And a Mad Cow who must Challenge a Madman in Ancient Japan"
906,"Tramp Others","Comedy","A Brilliant Display of a Composer And a Cat who must Succumb a A Shark in Ancient India"
932,"Valley Packer","Comedy","A Astounding Documentary of a Astronaut And a Boy who must Outrace a Sumo Wrestler in Berlin"
938,"Velvet Terminator","Comedy","A Lacklusture Tale of a Pastry Chef And a Technical Writer who must Confront a Crocodile in An Abandoned Amusement Park"
939,"Vertigo Northwest","Comedy","A Unbelieveable Display of a Mad Scientist And a Mad Scientist who must Outgun a Mad Cow in Ancient Japan"
978,"Wisdom Worker","Comedy","A Unbelieveable Saga of a Forensic Psychologist And a Student who must Face a Squirrel in The First Manned Space Station"
1000,"Zorro Ark","Comedy","A Intrepid Panorama of a Mad Scientist And a Boy who must Redeem a Boy in A Monastery"
